type,speaking,start_time,end_time,during_time
nd,1,22040,23110,1070
ti,1,36040,37990,1950
nd,0,42070,43590,1520
nd,0,45635,46995,1360
nd,1,49040,49970,930
mnd,1,59020,61110,2090
mnd,0,62040,65020,2980
mnd,0,72985,75025,2040
mnd,0,76020,78000,1980
mnd,0,87995,89985,1990
sh,1,91015,92015,1000
fd,1,94980,96010,1030
fu,1,97010,98010,1000
sh,1,103060,103710,650
sh,1,104420,105010,590
nd,0,111410,112500,1090
mnd,0,115510,117000,1490
mnd,0,118030,120010,1980
mnd,0,121015,124205,3190
mnd,0,131020,133980,2960
nd,1,139020,140110,1090
fu,1,143000,144400,1400
nd,1,168040,169000,960
sh,1,169045,170025,980
mnd,0,181960,183000,1040
nd,1,184405,185615,1210
mnd,0,188015,189985,1970
nd,0,191035,192015,980
fu,1,199010,200120,1110
nd,1,202520,203600,1080
nd,0,207005,208315,1310
sh,1,216420,217510,1090
mnd,1,249020,250000,980
nd,1,251525,252525,1000
ti,0,266020,266990,970
nd,0,273500,274500,1000
nd,0,278995,279995,1000
mnd,0,282050,284500,2450
nd,1,285410,286410,1000
fd,1,295505,296995,1490
sh,1,317495,318505,1010
