type,speaking,start_time,end_time,during_time
start,1,6030,7000,970
fd,0,9010,10490,1480
mnd,0,11515,12525,1010
fd,0,12575,13510,935
mnd,0,13510,16500,2990
mnd,0,18480,20990,2510
fd,0,21040,22980,1940
fd,1,26515,27545,1030
sh,1,29025,29485,460
t,1,32020,33005,985
mnd,1,33005,35005,2000
fd,1,37040,39030,1990
fd,1,39060,40020,960
fd,1,41035,42515,1480
mnd,0,43010,44520,1510
mnd,0,45020,51010,5990
fd,0,51520,52480,960
mnd,1,54005,54995,990
fd,1,54995,56985,1990
t,1,57975,59990,2015
fu,1,59990,61500,1510
sh,1,61500,62520,1020
ti,1,63035,63995,960
fd,1,64060,66000,1940
fd,1,66035,68005,1970
fu,1,68065,69035,970
fd,1,75055,76035,980
nd,1,82430,83460,1030
fd,1,86460,89530,3070
fd,1,89990,91480,1490
mnd,1,91510,93410,1900
sh,1,93445,94425,980
mnd,1,95000,96010,1010
sh,1,97010,99480,2470
fd,1,100020,102510,2490
sh,1,105000,108010,3010
sh,1,108400,109010,610
fd,1,116470,120000,3530
fu,1,120020,123510,3490
fd,1,124510,128040,3530
nd,1,128590,129520,930
fd,1,131010,133040,2030
fd,1,135520,146040,10520
sh,1,152985,156495,3510
fd,0,158015,159035,1020
fd,1,159540,160980,1440
fd,1,162025,165515,3490
nd,1,169035,170005,970
fd,0,170525,171995,1470
mnd,1,173485,174505,1020
sh,1,178020,178520,500
fd,1,178525,178995,470
fu,1,178995,179505,510
fd,1,179515,180005,490
sh,1,180025,181005,980
nd,1,181520,182530,1010
fd,1,183460,185480,2020
fd,1,185965,186975,1010
fd,1,187045,188005,960
fd,1,188050,188980,930
fd,1,189480,190500,1020
fd,1,191035,192575,1540
fd,1,193020,194030,1010
sh,1,194130,194990,860
fd,1,196505,197615,1110
fd,1,205010,206490,1480
fd,1,206535,207975,1440
fd,1,210510,211520,1010
sh,1,211550,214000,2450
mnd,1,214030,216990,2960
mnd,1,218045,219475,1430
fd,1,224005,225995,1990
fd,1,226485,228995,2510
t,1,229995,232005,2010
fd,0,237015,238435,1420
t,0,238480,240990,2510
sh,1,243990,246990,3000
sh,1,247995,249035,1040
fd,1,249590,253020,3430
fd,1,259530,262990,3460
fd,1,263005,264035,1030
mnd,1,275485,278955,3470
sh,1,280015,281505,1490
fu,1,282025,283005,980
fu,0,285450,288000,2550
sh,1,295980,296990,1010
fd,1,297600,298530,930
fd,0,300420,307010,6590
fd,1,310990,312030,1040
