type,speaking,start_time,end_time,during_time
start,1,7040,7970,930
ti,1,15990,16980,990
sh,1,17030,17990,960
fu,1,19525,20995,1470
fd,1,23490,24490,1000
sh,1,26025,26495,470
fd,1,26545,28005,1460
fu,1,35000,36030,1030
nd,1,38500,39520,1020
ti,1,41015,41575,560
mnd,1,41590,42510,920
nd,1,66455,67495,1040
fu,1,79070,81000,1930
mnd,1,85010,86530,1520
fu,1,87525,88495,970
fu,1,88995,89510,515
nd,1,89510,90520,1010
fu,1,96410,98000,1590
ti,1,103480,104490,1010
sh,1,106490,107520,1030
nd,1,109010,110020,1010
sh,1,118010,118980,970
sh,1,121510,123520,2010
fu,1,124500,125500,1000
fu,1,131500,134010,2510
nd,1,136010,137000,990
t,1,138010,138980,970
fu,1,142010,143020,1010
sh,1,143590,145010,1420
ti,1,145515,145995,480
nd,1,146050,147030,980
mnd,1,149015,151985,2970
mnd,1,153005,155015,2010
nd,1,162550,163420,870
ti,1,165420,167000,1580
nd,1,169545,170585,1040
nd,1,170990,172010,1020
ti,1,172035,173005,970
nd,1,176495,177525,1030
sh,1,180490,182530,2040
nd,1,183505,184425,920
sh,1,185980,187480,1500
nd,1,187555,188565,1010
sh,1,190995,192505,1510
fu,1,193615,194395,780
fu,1,199030,200960,1930
t,1,201005,202015,1010
nd,1,202545,203435,890
nd,1,213665,214445,780
sh,1,214580,216000,1420
fd,1,218985,220465,1480
mnd,1,221400,223520,2120
nd,1,225005,225995,990
nd,1,226655,227485,830
ti,1,230485,231535,1050
sh,1,232675,233375,700
sh,1,235620,236450,830
fu,1,236600,237490,890
fu,1,238430,239570,1140
fu,1,241465,243995,2530
sh,1,246515,249025,2510
ti,1,256020,257020,1000
ti,1,262430,263550,1120
mnd,1,266435,267995,1560
nd,1,268270,269500,1230
fu,1,270000,270970,970
sh,1,271970,273080,1110
mnd,1,275010,276570,1560
mnd,1,277005,279525,2520
nd,1,286420,287540,1120
nd,1,291005,291995,990
mnd,1,292480,298020,5540
t,1,305015,306555,1540
nd,1,307500,308450,950
sh,1,310480,312010,1530
sh,1,312480,313400,920
nd,1,317375,318485,1110
