type,speaking,start_time,end_time,during_time
start,1,12980,14000,1020
t,0,28510,30610,2100
nd,1,45485,46625,1140
t,1,51030,55010,3980
mnd,1,61040,62510,1470
t,1,66480,67980,1500
t,1,71035,72985,1950
fu,0,77485,79985,2500
mnd,0,80520,82010,1490
mnd,0,85010,86020,1010
fd,1,89510,91490,1980
fu,1,92005,93985,1980
fd,1,116020,117980,1960
fu,0,132425,133970,1545
t,1,133970,135020,1050
sh,1,136020,137010,990
mnd,0,138540,139510,970
t,1,144990,148000,3010
mnd,0,149400,150580,1180
mnd,0,151005,152985,1980
nd,1,154020,155020,1000
nd,0,157995,159035,1040
sh,1,159540,161010,1470
t,0,161480,165010,3530
t,0,169040,170730,1690
nd,1,170740,171450,710
t,1,172390,174550,2160
mnd,0,183485,184565,1080
mnd,1,187060,189020,1960
sh,1,190595,191525,930
fu,1,214020,214490,470
t,1,214520,215520,1000
nd,1,239030,240000,970
sh,1,241010,241970,960
fu,1,246495,248985,2490
sh,1,249045,251015,1970
mnd,0,254985,256525,1540
t,1,263990,264980,990
mnd,1,265990,268510,2520
mnd,1,270015,271545,1530
sh,1,273445,275015,1570
mnd,1,275455,277025,1570
sh,1,279610,280370,760
sh,1,280645,281995,1350
nd,1,283505,284425,920
sh,1,284580,285450,870
sh,1,286600,287550,950
nd,1,291990,292990,1000
t,1,299440,301440,2000
t,1,302435,303555,1120
t,0,304520,305480,960
fd,0,307015,309015,2000
fd,0,312470,316470,4000
mnd,0,316605,318005,1400
