type,start_time,end_time
nd,1153,1260
ti,2553,2748
nd,3156,3308
nd,3512,3648
nd,3853,3946
mnd,4851,5060
mnd,5153,5451
mnd,6247,6451
mnd,6551,6749
mnd,7748,7947
sh,8050,8150
fd,8447,8550
fu,8650,8750
sh,9255,9320
sh,9391,9450
nd,10090,10199
mnd,10500,10649
mnd,10752,10950
mnd,11050,11369
mnd,12051,12347
nd,12851,12960
fu,13249,13389
nd,15753,15849
sh,15853,15951
mnd,17145,17249
nd,17389,17510
mnd,17750,17947
nd,18052,18150
fu,18850,18961
nd,19201,19309
nd,19649,19780
sh,20591,20700
mnd,23851,23949
nd,24101,24201
ti,25551,25648
nd,26299,26399
nd,26848,26948
mnd,27154,27399
nd,27490,27590
fd,28499,28648
sh,30698,30799
