type,start_time,end_time
Start,306,316
fu,1108,1177
fu,2009,2209
sh,4358,4429
sh,4698,4758
fu,5408,5458
t,6338,6467
t,7008,7050
fu,7205,7308
t,7867,7907
nd,8038,8109
fu,9110,9409
nd,10737,10777
fd,10787,10908
nd,10946,11009
sh,12658,12708
mnd,12758,12859
fu,15309,15408
sh,15408,15479
t,15958,16067
mnd,16210,16307
mnd,16508,16638
fu,17307,17407
sh,19108,19709
t,20608,20757
fu,21409,21470
fu,22109,22308
sh,22607,22808
sh,24608,24706
t,24908,25008
sh,26208,26308
sh,28208,28288
fu,28409,28508
nd,29908,30008
t,30908,31009
t,31308,31468
