type,start_time,end_time
START,20,39
fd,542,738
mnd,1639,1800
t,1839,1949
fd,1949,2139
fd,3542,3889
t,4544,4739
nd,4839,4887
fd,6042,6267
t,7039,7600
t,7684,7994
fd,8140,8237
mnd,8239,8391
mnd,8438,8579
t,8841,9138
t,9838,10000
fd,10001,10340
fu,11339,11438
mnd,11441,11640
mnd,12139,12337
ti,13090,13199
mnd,13940,14090
mnd,14298,14438
t,14640,14740
mnd,15641,15739
t,15841,16238
fd,17590,17838
fd,18239,18640
fd,19641,19737
mnd,19941,20040
ti,20091,20189
fd,20842,20979
t,20981,21237
ti,21388,21497
t,21602,21839
fd,21938,22141
ti,22640,22740
fd,23040,23341
mnd,26038,26440
fd,27439,27739
t,28542,28640
fd,29540,29990
t,30842,30941
