type,start_time,end_time
start,-348,-249
nd,952,1051
sh,1751,1852
nd,2301,2401
fu,3352,3451
fd,3603,3702
t,3951,4050
t,4152,4202
t,4205,4272
sh,6404,6452
mnd,6751,6849
ti,7150,7254
t,7751,7854
fu,8102,8351
nd,8452,8552
sh,8654,8802
t,10451,10551
t,10604,10701
mnd,11551,11752
ti,12952,13051
mnd,13250,13451
sh,13753,13950
fu,16053,16200
t,18952,19050
t,21902,22004
t,22049,22151
mnd,24953,25151
t,26452,26650
sh,28552,28654
nd,29151,29251
sh,29751,29853
t,29952,30002
