type,start_time,end_time
start,-16,84
nd,485,586
nd,635,686
mnd,1035,1087
nd,1485,1587
nd,2287,2383
mnd,2388,2783
nd,2786,2885
mnd,3276,3434
mnd,4083,4285
nd,4936,5084
sh,5584,5685
nd,5836,5884
t,6187,6283
t,7386,7483
t,8287,8485
sh,9935,10086
fu,10985,11087
fd,12585,12785
ti,13984,14083
nd,14335,14384
nd,14685,14735
nd,15086,15186
nd,15886,15937
sh,15986,16084
sh,16284,16385
fd,17284,17384
sh,18535,18636
nd,19087,19184
fd,20085,20145
nd,20286,20384
nd,20534,20585
fu,21050,21186
mnd,21884,21985
nd,22084,22136
mnd,22236,22334
mnd,22435,22531
mnd,23137,23233
mnd,23485,23889
nd,24734,24835
nd,25286,25387
mnd,25685,25885
nd,26187,26284
nd,26386,26484
nd,26586,26735
ti,26784,26886
fd,27135,27634
fd,29286,29387
sh,29685,29783
nd,30237,30333
