type,start_time,end_time
start,-23,74
nd,874,924
ti,1626,1725
nd,1825,1924
sh,2273,2374
sh,2978,3378
ti,3829,3926
sh,4225,4574
ti,5076,5172
nd,6124,6273
ti,6675,6724
nd,6824,6876
sh,7026,7124
nd,7575,7676
mnd,7776,7925
t,7925,7977
nd,8024,8075
mnd,8374,8572
ti,8576,8676
nd,8680,8724
nd,8877,8975
nd,9072,9175
fu,9276,9373
nd,9375,9476
ti,9675,9776
nd,11676,11776
nd,14676,14776
sh,15125,15325
nd,15326,15423
sh,15423,15576
nd,15675,15773
nd,15875,15976
mnd,16980,17075
nd,17826,17923
nd,18076,18176
nd,18227,18326
mnd,18423,18525
sh,18625,18873
nd,18875,18924
nd,19024,19123
sh,19226,19324
sh,19377,19576
sh,19624,19874
nd,19874,19975
sh,20225,20324
nd,20324,20376
nd,20378,20476
sh,20476,20623
nd,21475,21575
sh,21575,21676
nd,21727,21775
nd,21925,21976
nd,22075,22174
nd,22325,22375
nd,22777,22876
nd,22976,23073
sh,23076,23273
nd,23324,23423
sh,23423,23574
nd,23574,23675
nd,23682,23821
sh,23821,23925
sh,24176,24274
ti,24376,24424
nd,24425,24474
nd,24827,24925
nd,24976,25076
nd,26226,26325
nd,26476,26575
sh,26625,26673
nd,26673,26726
nd,26775,26875
nd,26975,27073
nd,27175,27276
sh,27279,27373
sh,27377,27677
sh,28273,28375
nd,28477,28574
mnd,28777,28877
ti,29075,29177
nd,29224,29326
nd,29718,29825
