type,start_time,end_time
start,47,146
nd,1149,1247
fu,1847,1948
sh,3649,3747
sh,4400,4746
t,5846,6147
fd,6646,6747
t,6849,6949
nd,8447,8549
t,9348,9545
nd,9649,9746
ti,10046,10146
fd,10248,10346
t,11547,11998
fd,12398,12795
t,15049,15447
sh,16947,17098
fd,17148,17449
t,18048,18147
sh,19046,19199
fu,19552,19645
t,19697,19884
fd,21347,21596
sh,22247,22545
fd,22550,22948
t,23346,23598
t,24499,24649
sh,24650,24896
fu,25047,25198
t,25648,25799
sh,26050,26248
t,26452,26599
fd,26847,26896
sh,26899,27346
ti,27546,27695
mnd,28349,28505
fd,28651,28749
sh,28753,28796
mnd,29647,29845
ti,30146,30246
ti,30997,31148
