type,start_time,end_time
start,81,179
fd,1031,1232
sh,1430,1530
sh,3029,3131
nd,3181,3279
nd,3481,3530
nd,3584,3679
nd,3981,4078
nd,4122,4179
mnd,4779,4983
ti,5031,5130
nd,5383,5527
mnd,5579,5730
ti,5828,5930
fd,6326,6479
nd,7632,7728
fd,8281,8332
mnd,8332,8432
fu,8481,8578
mnd,8881,9083
nd,9881,9930
nd,10531,10627
nd,10682,10781
mnd,10879,10979
ti,11178,11281
nd,11779,11830
fd,12380,12632
sh,13480,13631
mnd,14481,14831
sh,14832,14881
nd,15082,15132
nd,15630,15682
sh,15730,15981
nd,15982,16030
sh,17327,17434
mnd,17979,18130
nd,18330,18430
nd,18531,18580
nd,18631,18680
mnd,19131,19280
ti,19781,19880
ti,20030,20130
mnd,20230,20330
fu,20378,20479
nd,21182,21278
mnd,21282,21530
nd,21782,21879
mnd,22679,22879
mnd,23081,23229
mnd,23329,23380
ti,23983,24080
mnd,24432,24528
sh,25077,25231
t,25681,25783
nd,25831,25883
fd,26529,26681
sh,26829,26881
sh,27130,27183
fd,27231,27329
sh,27731,27880
sh,27979,28079
sh,28128,28230
sh,28380,28481
ti,29082,29181
ti,29378,29581
fu,29782,29877
mnd,30482,30678
mnd,31130,31381
fu,31629,31729
sh,31780,31882
nd,31884,31931
mnd,33085,33178
mnd,33730,33932
