type,start_time,end_time
start,41,139
mnd,540,839
ti,888,989
nd,990,1092
nd,1540,1592
mnd,1739,1842
ti,3144,3239
ti,3991,4090
ti,4445,4540
nd,4590,4741
fd,4793,5243
fd,5641,5790
nd,7042,7141
fd,7242,7544
fd,7839,7990
fd,8543,8839
fd,9040,9293
ti,10940,11090
mnd,11091,11289
sh,11291,11392
sh,11742,11840
mnd,11842,11989
fd,12141,12341
fd,12893,13242
nd,13340,13439
fd,13941,14242
mnd,14244,14643
fd,15440,15542
t,15542,15641
sh,16043,16341
nd,18041,18191
fd,19144,19240
sh,19441,19544
sh,19739,19939
fd,20092,20341
nd,20341,20443
nd,20688,20791
nd,21592,21690
fd,21840,22041
ti,22392,22492
nd,22492,22542
mnd,22742,22842
nd,23344,23443
fd,23590,23792
mnd,25241,25440
mnd,25942,26141
fd,27439,27743
ti,27745,28040
mnd,28092,28346
ti,28641,28791
nd,29542,29643
