type,start_time,end_time
start,76,175
fd,429,528
mnd,1279,1428
nd,1627,1727
nd,1928,1977
nd,2680,2777
ti,2780,2980
sh,3078,3176
sh,3877,4378
mnd,4727,5077
t,5625,5677
ti,5980,6078
nd,6226,6329
nd,6332,6429
ti,6577,6679
nd,6879,6978
ti,7375,7480
nd,8179,8277
nd,8527,8627
ti,8828,8976
nd,8978,9128
mnd,9428,9975
mnd,10178,10379
ti,10581,10778
sh,10779,11027
sh,11080,11177
ti,11229,11377
sh,11575,11675
t,11729,11777
sh,11778,12078
ti,12176,12327
sh,13078,13275
mnd,13277,13475
ti,13778,13978
sh,14177,14373
nd,14479,14577
sh,14580,14675
mnd,15180,15425
sh,15568,15828
ti,16228,16328
fu,16478,16578
sh,16881,17428
ti,17428,17526
mnd,17579,17778
nd,18330,18426
ti,18628,18726
fd,18826,18929
mnd,18931,19180
ti,19181,19278
t,19279,19429
ti,20079,20277
sh,20678,20826
sh,21278,21477
mnd,21878,22076
ti,22430,22579
sh,22580,22828
nd,22830,22927
sh,23076,23477
ti,23477,23576
nd,23628,23726
nd,23828,23926
fu,24875,24978
fd,25277,25375
mnd,25679,26026
mnd,26324,26577
mnd,27224,27428
ti,27527,27630
sh,28226,28428
mnd,28778,29027
ti,29679,29728
nd,29928,30026
