type,start_time,end_time
start,-59,45
fu,648,844
nd,1245,1343
mnd,1746,1888
fu,2294,2448
t,2886,2994
nd,4446,4546
mnd,7747,8347
nd,9446,9502
sh,10048,10145
sh,10546,10693
nd,11793,11891
t,12246,12344
mnd,12647,12746
sh,12846,13099
nd,13542,13692
mnd,14688,14945
sh,14987,15045
nd,15182,15246
mnd,15294,15496
fu,16084,16347
t,16746,17344
fu,17345,17787
sh,18497,18549
nd,18550,18598
sh,18604,18783
t,18785,19045
ti,19547,19646
nd,19790,19891
fu,19896,20042
mnd,20045,20345
nd,20447,20545
fu,20547,20743
sh,20881,21004
sh,21096,21249
t,21254,21347
nd,21398,21506
ti,22046,22146
sh,22248,22446
nd,22750,22846
sh,22848,23147
fu,23150,23284
sh,23288,23445
ti,23549,23743
mnd,24343,24446
ti,24545,24642
nd,24877,25046
nd,25090,25147
nd,25149,25205
sh,25385,25547
t,25589,25791
sh,25946,26045
sh,26292,26504
sh,27749,28000
mnd,28287,28544
sh,28647,29146
mnd,29244,29744
fu,29745,29948
