type,start_time,end_time
start,-51,46
fu,246,497
ti,546,645
ti,1196,1298
nd,1548,1646
sh,1697,1946
nd,2147,2247
mnd,2348,2646
fd,2650,2848
ti,2850,2945
nd,3048,3097
ti,3249,3348
nd,3849,3994
nd,4449,4647
nd,4698,4794
mnd,4893,5094
nd,5148,5247
nd,5291,5398
sh,5947,6148
mnd,6648,6847
fu,7047,7149
nd,7149,7245
nd,7396,7496
fu,7498,7547
nd,7549,7646
nd,7652,7726
fu,7727,7765
t,7769,7845
sh,7901,8148
mnd,8201,8345
ti,8350,8445
nd,9549,9695
t,10094,10149
ti,10151,10447
ti,10494,10598
nd,10648,10696
mnd,10800,10996
nd,10996,11105
sh,12001,12096
nd,12096,12147
sh,12149,12397
fd,12551,12619
t,12619,12685
nd,12685,12796
ti,12844,12948
fu,13147,13248
ti,13253,13347
mnd,13547,13688
mnd,13750,13895
nd,14098,14197
ti,14447,14597
ti,14847,14949
fd,16994,17145
sh,17196,17298
fu,17299,17445
ti,18295,18394
ti,19194,19298
mnd,19393,19790
fd,19949,20095
fu,20095,20195
nd,20248,20348
nd,20449,20486
ti,20486,20549
ti,20649,20748
sh,20749,20894
nd,21394,21502
mnd,21505,21646
sh,21650,21847
fd,22196,22350
fu,22949,23145
fd,23648,23746
mnd,24748,24945
fu,26298,26451
nd,26454,26594
t,27198,27247
sh,27251,27449
mnd,27646,27798
mnd,27997,28150
sh,28896,29148
