type,start_time,end_time
start,-22,74
fd,275,423
mnd,525,626
fd,631,725
mnd,725,1024
mnd,1222,1473
fd,1478,1672
fd,2025,2128
sh,2276,2322
t,2576,2674
mnd,2674,2874
fd,3078,3277
fd,3280,3376
fd,3477,3625
mnd,3675,3826
mnd,3876,4475
fd,4526,4622
mnd,4774,4873
fd,4873,5072
t,5171,5373
fu,5373,5524
sh,5524,5626
ti,5677,5773
fd,5780,5974
fd,5977,6174
fu,6180,6277
fd,6879,6977
nd,7617,7720
fd,8020,8327
fd,8373,8522
mnd,8525,8715
sh,8718,8816
mnd,8874,8975
sh,9075,9322
fd,9376,9625
sh,9874,10175
sh,10214,10275
fd,11021,11374
fu,11376,11725
fd,11825,12178
nd,12233,12326
fd,12475,12678
fd,12926,13978
sh,14672,15023
fd,15175,15277
fd,15328,15472
fd,15576,15925
nd,16277,16374
fd,16426,16573
mnd,16722,16824
sh,17176,17226
fd,17226,17273
fu,17273,17324
fd,17325,17374
sh,17376,17474
nd,17526,17627
fd,17720,17922
fd,17970,18071
fd,18078,18174
fd,18179,18272
fd,18322,18424
fd,18477,18631
fd,18676,18777
sh,18787,18873
fd,19024,19135
fd,19875,20023
fd,20027,20171
fd,20425,20526
sh,20529,20774
mnd,20777,21073
mnd,21178,21321
fd,21774,21973
fd,22022,22273
t,22373,22574
fd,23075,23217
t,23222,23473
sh,23773,24073
sh,24173,24277
fd,24333,24676
fd,25327,25673
fd,25674,25777
mnd,26922,27269
sh,27375,27524
fu,27576,27674
fu,27919,28174
sh,28972,29073
fd,29134,29227
fd,29416,30075
fd,30473,30577
