type,start_time,end_time
start,26,125
fu,226,273
mnd,974,1174
nd,1523,1628
mnd,2124,2275
mnd,2526,2627
mnd,3423,3523
mnd,3777,4028
sh,4478,4575
sh,4828,4977
mnd,5678,5974
mnd,6277,6526
nd,6928,6986
nd,6996,7073
mnd,7075,7274
nd,7874,7975
mnd,8931,9077
fd,9080,9175
fd,9224,9424
mnd,9574,9724
mnd,10175,10276
sh,10476,10625
nd,10776,10878
nd,10923,11024
mnd,12228,12674
mnd,12779,12928
nd,13473,13573
mnd,14369,14525
nd,14575,14670
fu,15028,15126
mnd,15129,15222
ti,15269,15377
nd,15391,15476
fu,15933,16027
sh,16628,16670
sh,16827,16870
nd,18324,18425
fd,18525,18673
mnd,19127,19527
nd,19726,19827
mnd,20024,20280
nd,20429,20525
nd,20727,20825
sh,22122,22326
nd,22770,22875
nd,23275,23325
mnd,23326,23473
