type,start_time,end_time
start,-94,4
fu,105,247
mnd,605,804
mnd,899,1101
t,1102,1250
mnd,1954,2052
fu,2052,2102
mnd,2107,2452
mnd,2700,2801
mnd,2851,3151
mnd,3452,3802
t,4051,4103
mnd,4106,4300
fu,4648,4751
mnd,5301,5503
mnd,5602,5931
mnd,5934,6100
sh,6103,6255
sh,6305,6406
t,6503,6601
t,6606,6748
sh,6776,6841
t,6952,7045
fd,7102,7203
mnd,7503,7904
mnd,8441,8544
ti,9203,9301
mnd,9547,10001
nd,10159,10248
t,10299,10399
mnd,10498,10704
sh,10707,10852
sh,11003,11101
mnd,11104,11201
sh,11301,11503
t,11553,11648
mnd,11902,12301
mnd,12403,12701
sh,12802,12901
nd,13205,13300
nd,13351,13452
mnd,14052,14303
fd,14500,14551
sh,14551,14653
mnd,14656,14751
mnd,15251,15452
t,15651,15700
mnd,15700,15803
nd,15903,16003
sh,16054,16255
mnd,16352,16552
mnd,16605,17205
mnd,17901,18204
mnd,18304,18402
sh,18402,18501
mnd,19103,19245
mnd,19603,19699
t,19703,19800
mnd,19803,19902
sh,19903,20101
nd,20604,20662
sh,20703,20904
t,21403,21502
ti,21604,21703
mnd,22802,23202
mnd,23407,23539
t,23556,23655
nd,23748,23845
mnd,24105,24200
sh,24206,24597
sh,24706,24805
mnd,24840,25001
mnd,25196,25303
sh,25307,25351
mnd,25356,25446
nd,25545,25644
mnd,26099,26254
sh,26355,26403
mnd,26408,26503
sh,26556,26661
mnd,26700,26852
t,26852,26950
fu,27006,27100
sh,27303,27499
t,29005,29103
mnd,29165,29243
t,29246,29331
