type,start_time,end_time
start,-72,26
mnd,476,1028
mnd,1127,1430
t,1431,1574
sh,1927,2027
ti,2128,2228
mnd,2976,3076
mnd,3375,3576
fd,3826,3927
nd,4425,4526
sh,4529,4630
mnd,4875,5028
mnd,6577,6672
nd,7928,8025
mnd,8526,8774
mnd,8926,9125
mnd,9177,9326
mnd,9727,9825
mnd,10876,10976
mnd,11126,11280
ti,11727,11825
mnd,11877,11973
t,12030,12125
t,12575,12777
t,13426,13726
mnd,13726,13828
t,14426,14876
sh,15326,15471
nd,15571,15681
mnd,16564,16726
nd,17125,17227
fu,17233,17471
mnd,17530,17668
ti,17727,17826
mnd,17829,18024
mnd,19028,19224
mnd,19730,19827
fd,19832,20026
mnd,20529,20625
ti,20824,20971
mnd,21021,21132
nd,21326,21428
sh,21633,21725
ti,23172,23279
mnd,23367,23427
mnd,23525,23726
ti,24930,25028
mnd,25033,25326
sh,25376,25927
fd,26223,26425
nd,26776,26877
sh,27085,27174
sh,27291,27366
fd,27776,28425
mnd,29627,29927
