type,start_time,end_time
START,601,661
fu,901,1000
t,1053,1202
sh,1204,1399
sh,1603,2097
nd,2249,2399
nd,2647,2761
mnd,2767,2902
mnd,3005,3502
sh,3551,3661
sh,3944,4064
sh,5560,5750
nd,5900,6001
mnd,6204,6451
mnd,6505,6599
sh,6604,6702
nd,7451,7561
ti,7699,7849
nd,7897,8000
nd,8150,8239
mnd,8599,8700
nd,8798,8901
ti,9239,9302
mnd,9303,9606
mnd,9700,9805
mnd,9901,10002
nd,10201,10302
t,10907,11104
nd,11506,11603
mnd,11801,12004
nd,12302,12464
nd,12598,12700
mnd,13801,14052
mnd,14107,14363
mnd,14401,14605
sh,14656,14752
nd,15300,15403
nd,15561,15660
ti,15947,16052
fu,16452,16552
fu,16701,16898
nd,17000,17099
mnd,17304,17501
nd,18302,18401
ti,18651,18802
sh,19853,19972
fd,20401,20508
mnd,21795,22002
mnd,22005,22160
ti,22202,22302
mnd,22393,22536
sh,22702,22803
nd,23134,23273
mnd,24553,24702
nd,25001,25104
nd,25495,25604
mnd,26199,26304
mnd,26396,26518
sh,27505,27632
nd,28345,28448
nd,28603,28700
nd,28704,28789
mnd,28800,29098
nd,30730,30857
sh,31397,31606
