type,start_time,end_time
start,175,274
nd,575,673
ti,1374,1474
t,1731,1875
t,1926,2075
nd,2324,2446
t,3638,4072
t,4475,4574
t,4778,5172
sh,5227,5342
ti,5683,5775
sh,5780,6077
sh,6782,6928
nd,7479,7532
sh,7532,7633
nd,8877,8974
sh,9170,9275
t,9479,9673
t,9677,9955
nd,10127,10232
mnd,10473,10676
mnd,10819,10976
mnd,11076,11169
mnd,11276,11777
ti,11777,11875
nd,13330,13439
sh,13472,13671
mnd,13778,13875
ti,13875,13932
ti,14076,14128
nd,15537,15629
mnd,15679,15877
nd,15979,16077
nd,17572,17673
t,17673,17972
mnd,17972,18145
nd,18281,18365
nd,18415,18528
nd,18631,18735
nd,18781,18873
nd,18880,18977
nd,19074,19198
mnd,19580,19877
sh,19891,20042
sh,20282,20396
mnd,20679,20963
nd,21427,21532
mnd,21575,21779
nd,21921,22044
ti,22077,22131
nd,22134,22229
mnd,22276,22472
nd,22975,23134
sh,23576,23772
nd,23978,24081
fu,24379,24477
ti,24576,24673
mnd,25220,25371
fu,25473,25665
mnd,25747,25978
nd,26077,26178
mnd,26265,26578
t,27275,27377
nd,27380,27523
mnd,27977,28192
sh,28281,28378
sh,28481,28777
mnd,28781,29079
t,29273,29374
mnd,29976,30077
t,30077,30174
mnd,30194,30368
nd,31775,31893
t,32770,32882
mnd,34075,34278
