type,start_time,end_time
start,217,292
mnd,2397,2622
t,4267,4445
nd,4464,4574
sh,4657,4772
t,4959,5291
mnd,5317,5435
mnd,6566,6863
fu,7176,7271
nd,8867,9021
t,9069,9277
t,9472,9769
mnd,11273,11509
mnd,17177,17371
t,18012,18467
mnd,20112,20373
fd,20661,20767
t,20807,20934
t,22556,22782
mnd,23269,23466
nd,23526,23613
t,24275,24427
mnd,24574,24873
nd,25205,25330
t,25712,25806
nd,29320,29453
nd,29568,29654
ti,29660,29753
mnd,29971,30466
nd,32343,32454
mnd,32500,32670
