type,start_time,end_time
start,545,645
ti,1396,1496
fu,1597,1692
sh,3246,3343
nd,4693,4795
nd,5096,5194
ti,5346,5496
ti,6316,6444
sh,6645,6847
sh,6897,6993
ti,7298,7393
fu,7996,8094
mnd,8145,8347
ti,8646,8846
mnd,9497,9646
ti,9946,10094
ti,10997,11203
ti,11493,11644
nd,12147,12204
ti,12947,13044
sh,13693,13795
nd,14094,14197
fu,14448,14547
fd,14994,15244
mnd,15596,15746
mnd,17444,17746
ti,17942,18004
nd,18007,18095
ti,18100,18245
ti,18694,18797
ti,18850,18942
sh,19841,19945
t,20289,20345
fu,21046,21245
sh,21449,21684
sh,22091,22189
fu,23647,23745
ti,23987,24101
ti,24648,24745
mnd,25043,25344
ti,25645,25942
nd,26094,26193
ti,26295,26411
sh,26589,26697
mnd,26790,26946
nd,27401,27488
mnd,27892,28045
fu,28888,29045
mnd,29447,29545
mnd,29944,30047
nd,30194,30299
