type,start_time,end_time
start,-20,72
ti,874,973
sh,978,1074
fu,1227,1374
fd,1624,1724
sh,1877,1924
fd,1929,2075
fu,2775,2878
nd,3125,3227
ti,3376,3432
mnd,3434,3526
nd,5920,6024
fu,7182,7375
mnd,7776,7928
fu,8027,8124
fu,8174,8226
nd,8226,8327
fu,8916,9075
ti,9623,9724
sh,9924,10027
nd,10176,10277
sh,11076,11173
sh,11426,11627
fu,11725,11825
fu,12425,12676
nd,12876,12975
t,13076,13173
fu,13476,13577
sh,13634,13776
ti,13826,13874
nd,13880,13978
mnd,14176,14473
mnd,14575,14776
nd,15530,15617
ti,15817,15975
nd,16229,16333
nd,16374,16476
ti,16478,16575
nd,16924,17027
sh,17324,17528
nd,17625,17717
sh,17873,18023
nd,18030,18131
sh,18374,18525
fu,18636,18714
fu,19178,19371
t,19375,19476
nd,19529,19618
nd,20641,20719
sh,20733,20875
fd,21173,21321
mnd,21415,21627
nd,21775,21874
nd,21940,22023
ti,22323,22428
sh,22542,22612
sh,22837,22920
fu,22935,23024
fu,23118,23232
fu,23421,23674
sh,23926,24177
ti,24877,24977
ti,25518,25630
mnd,25918,26074
nd,26102,26225
fu,26275,26372
sh,26472,26583
mnd,26776,26932
mnd,26975,27227
nd,27917,28029
nd,28375,28474
mnd,28523,29077
t,29776,29930
nd,30025,30120
sh,30323,30476
sh,30523,30615
nd,31012,31123
