type,speaking,start_time,end_time,during_time
start,1,7000,7990,990
nd,1,18020,19000,980
fu,1,24995,26005,1010
sh,0,43015,43995,980
sh,1,50525,53985,3460
t,1,64990,68000,3010
fd,1,72990,74000,1010
t,1,75020,76020,1000
nd,1,90995,92015,1020
t,1,100010,101980,1970
nd,1,103020,103990,970
ti,1,106990,107990,1000
fd,1,109005,109985,980
t,1,122000,126510,4510
fd,1,130510,134480,3970
t,1,157020,161000,3980
sh,1,175995,177505,1510
fd,1,178005,181015,3010
t,1,187010,188000,990
sh,1,196990,198520,1530
fu,1,202050,202980,930
t,1,203500,205370,1870
fd,1,220000,222490,2490
sh,1,229000,231980,2980
fd,1,232025,236005,3980
t,1,239990,242510,2520
t,1,251515,253015,1500
sh,1,253030,255490,2460
fu,1,256995,258505,1510
t,1,263005,264515,1510
sh,1,267025,269005,1980
t,0,271050,272520,1470
fd,1,275000,275490,490
sh,1,275520,279990,4470
ti,1,281990,283480,1490
mnd,1,290020,291580,1560
fd,0,293035,294015,980
sh,0,294060,294490,430
mnd,1,303000,304980,1980
ti,1,307985,308985,1000
ti,1,316500,318010,1510
