type,speaking,start_time,end_time,during_time
start,1,4990,5980,990
fd,1,8520,9510,990
mnd,1,17020,18510,1490
nd,1,20500,21500,1000
nd,0,23505,23995,490
nd,0,31025,31995,970
ti,0,32025,34025,2000
sh,1,35010,35990,980
sh,1,43000,48010,5010
mnd,1,51500,55000,3500
t,1,60475,60995,520
ti,1,64030,65010,980
nd,1,66485,67515,1030
nd,1,67545,68515,970
ti,1,69995,71015,1020
nd,1,73020,74010,990
ti,1,77980,79030,1050
nd,1,86020,87000,980
nd,1,89495,90495,1000
ti,1,92510,93990,1480
nd,1,94005,95505,1500
mnd,1,98510,103980,5470
mnd,1,106010,108020,2010
ti,1,110040,112010,1970
sh,1,112020,114500,2480
sh,1,115025,115995,970
ti,1,116515,117995,1480
sh,1,119980,120980,1000
t,1,121515,121995,480
sh,1,122010,125010,3000
ti,1,125985,127495,1510
sh,1,135010,136980,1970
mnd,1,137000,138980,1980
ti,1,142005,144005,2000
sh,1,146000,147960,1960
nd,1,149015,149995,980
sh,1,150030,150980,950
mnd,1,156030,158480,2450
sh,1,159910,162510,2600
ti,1,166505,167505,1000
fu,1,169010,170010,1000
sh,1,173035,178510,5475
ti,1,178510,179490,980
mnd,1,180015,182005,1990
nd,1,187525,188485,960
ti,1,190510,191490,980
fd,1,192485,193515,1030
mnd,1,193535,196025,2490
ti,1,196035,197005,970
t,1,197015,198515,1500
ti,1,205020,207000,1980
sh,1,211005,212485,1480
sh,1,217010,219000,1990
mnd,1,223010,224990,1980
ti,1,228525,230015,1490
sh,1,230025,232505,2480
nd,1,232530,233500,970
sh,1,234990,239000,4010
ti,1,239000,239990,990
nd,1,240510,241490,980
nd,1,242505,243485,980
fu,1,252980,254010,1030
fd,1,257000,257980,980
mnd,1,261020,264490,3470
mnd,1,267470,270000,2530
mnd,1,276470,278510,2040
ti,1,279502,280524,1022
sh,1,286490,288512,2022
mnd,1,292005,294497,2492
ti,1,301015,301513,498
nd,1,303504,304493,989
