type,speaking,start_time,end_time,during_time
start,1,4010,5000,990
mnd,1,9500,15020,5520
mnd,1,16015,19045,3030
t,1,19055,20485,1430
sh,1,24015,25015,1000
ti,1,26020,27020,1000
mnd,1,34500,35500,1000
mnd,1,38495,40505,2010
fd,1,43005,44015,1010
nd,1,48995,50005,1010
sh,1,50035,51045,1010
mnd,1,53495,55025,1530
mnd,1,70515,71465,950
nd,1,84025,84995,970
mnd,1,90005,92485,2480
mnd,1,94000,95990,1990
mnd,1,96510,98000,1490
mnd,1,102010,102990,980
mnd,1,113505,114505,1000
mnd,1,116000,117540,1540
ti,1,122015,122995,980
mnd,1,123510,124470,960
t,1,125045,125995,950
t,1,130495,132515,2020
t,1,139000,142000,3000
mnd,1,142000,143020,1020
t,1,149000,153500,4500
sh,1,158000,159450,1450
nd,1,160450,161550,1100
mnd,1,170385,172005,1620
nd,1,175990,177010,1020
fu,1,177075,179455,2380
mnd,1,180040,181420,1380
ti,1,182015,183005,990
mnd,1,183035,184985,1950
mnd,1,195025,196985,1960
mnd,1,202040,203010,970
fd,1,203060,205000,1940
mnd,1,210030,210990,960
ti,1,212985,214455,1470
mnd,1,214955,216065,1110
nd,1,218005,219025,1020
sh,1,221070,221990,920
ti,1,236465,237535,1070
mnd,1,238415,239015,600
mnd,1,239990,242000,2010
ti,1,254040,255020,980
mnd,1,255075,258005,2930
sh,1,258505,264015,5510
fd,1,266970,268990,2020
nd,1,272505,273515,1010
sh,1,275595,276485,890
sh,1,277655,278405,750
fd,0,282500,288990,6490
mnd,1,301010,304010,3000
